			F0	F0	F1	F1	GEN
			S0	S1	S2	S3	S4
index	time	round					
W0	0.0	0	1.0	1.0	1.0	1.0	1.0
W1	0.0	0	1.0	1.0	1.0	1.0	1.0
W2	0.0	0	1.0	1.0	1.0	1.0	1.0
W3	0.0	0	1.0	1.0	1.0	1.0	1.0
W4	0.0	0	1.0	1.0	1.0	1.0	1.0
W5	0.0	0	1.0	1.0	1.0	1.0	1.0
W6	0.0	0	1.0	1.0	1.0	1.0	1.0
W7	0.0	0	1.0	1.0	1.0	1.0	1.0
W8	0.0	0	1.0	1.0	1.0	1.0	1.0
W9	0.0	0	1.0	1.0	1.0	1.0	1.0
W10	0.0	0	1.0	1.0	1.0	1.0	1.0
W11	0.0	0	1.0	1.0	1.0	1.0	1.0
W12	0.0	0	1.0	1.0	1.0	1.0	1.0
W13	0.0	0	1.0	1.0	1.0	1.0	1.0
W14	0.0	0	1.0	1.0	1.0	1.0	1.0
W15	0.0	0	1.0	1.0	1.0	1.0	1.0
W16	0.0	0	1.0	1.0	1.0	1.0	1.0
W17	0.0	0	1.0	1.0	1.0	1.0	1.0
W18	0.0	0	1.0	1.0	1.0	1.0	1.0
W19	0.0	0	1.0	1.0	1.0	1.0	1.0
W20	0.0	0	1.0	1.0	1.0	1.0	1.0
W21	0.0	0	1.0	1.0	1.0	1.0	1.0
W22	0.0	0	1.0	1.0	1.0	1.0	1.0
W23	0.0	0	1.0	1.0	1.0	1.0	1.0
W24	0.0	0	1.0	1.0	1.0	1.0	1.0
W25	0.0	0	1.0	1.0	1.0	1.0	1.0
W26	0.0	0	1.0	1.0	1.0	1.0	1.0
W27	0.0	0	1.0	1.0	1.0	1.0	1.0
W28	0.0	0	1.0	1.0	1.0	1.0	1.0
W29	0.0	0	1.0	1.0	1.0	1.0	1.0
W30	0.0	0	1.0	1.0	1.0	1.0	1.0
W31	0.0	0	1.0	1.0	1.0	1.0	1.0
W32	0.0	0	1.0	1.0	1.0	1.0	1.0
W33	0.0	0	1.0	1.0	1.0	1.0	1.0
W34	0.0	0	1.0	1.0	1.0	1.0	1.0
W35	0.0	0	1.0	1.0	1.0	1.0	1.0
W36	0.0	0	1.0	1.0	1.0	1.0	1.0
W37	0.0	0	1.0	1.0	1.0	1.0	1.0
W38	0.0	0	1.0	1.0	1.0	1.0	1.0
W39	0.0	0	1.0	1.0	1.0	1.0	1.0
W40	0.0	0	1.0	1.0	1.0	1.0	1.0
W41	0.0	0	1.0	1.0	1.0	1.0	1.0
W42	0.0	0	1.0	1.0	1.0	1.0	1.0
W43	0.0	0	1.0	1.0	1.0	1.0	1.0
W44	0.0	0	1.0	1.0	1.0	1.0	1.0
W45	0.0	0	1.0	1.0	1.0	1.0	1.0
W46	0.0	0	1.0	1.0	1.0	1.0	1.0
W47	0.0	0	1.0	1.0	1.0	1.0	1.0
W48	0.0	0	1.0	1.0	1.0	1.0	1.0
W49	0.0	0	1.0	1.0	1.0	1.0	1.0
W50	0.0	0	1.0	1.0	1.0	1.0	1.0
W51	0.0	0	1.0	1.0	1.0	1.0	1.0
W52	0.0	0	1.0	1.0	1.0	1.0	1.0
W53	0.0	0	1.0	1.0	1.0	1.0	1.0
W54	0.0	0	1.0	1.0	1.0	1.0	1.0
W55	0.0	0	1.0	1.0	1.0	1.0	1.0
W56	0.0	0	1.0	1.0	1.0	1.0	1.0
W57	0.0	0	1.0	1.0	1.0	1.0	1.0
W58	0.0	0	1.0	1.0	1.0	1.0	1.0
W59	0.0	0	1.0	1.0	1.0	1.0	1.0
W60	0.0	0	1.0	1.0	1.0	1.0	1.0
W61	0.0	0	1.0	1.0	1.0	1.0	1.0
W62	0.0	0	1.0	1.0	1.0	1.0	1.0
W63	0.0	0	1.0	1.0	1.0	1.0	1.0
W64	0.0	0	1.0	1.0	1.0	1.0	1.0
W65	0.0	0	1.0	1.0	1.0	1.0	1.0
W66	0.0	0	1.0	1.0	1.0	1.0	1.0
W67	0.0	0	1.0	1.0	1.0	1.0	1.0
W68	0.0	0	1.0	1.0	1.0	1.0	1.0
W69	0.0	0	1.0	1.0	1.0	1.0	1.0
W70	0.0	0	1.0	1.0	1.0	1.0	1.0
W71	0.0	0	1.0	1.0	1.0	1.0	1.0
W72	0.0	0	1.0	1.0	1.0	1.0	1.0
W73	0.0	0	1.0	1.0	1.0	1.0	1.0
W74	0.0	0	1.0	1.0	1.0	1.0	1.0
W75	0.0	0	1.0	1.0	1.0	1.0	1.0
W76	0.0	0	1.0	1.0	1.0	1.0	1.0
W77	0.0	0	1.0	1.0	1.0	1.0	1.0
W78	0.0	0	1.0	1.0	1.0	1.0	1.0
W79	0.0	0	1.0	1.0	1.0	1.0	1.0
W80	0.0	0	1.0	1.0	1.0	1.0	1.0
W81	0.0	0	1.0	1.0	1.0	1.0	1.0
W82	0.0	0	1.0	1.0	1.0	1.0	1.0
W83	0.0	0	1.0	1.0	1.0	1.0	1.0
W84	0.0	0	1.0	1.0	1.0	1.0	1.0
W85	0.0	0	1.0	1.0	1.0	1.0	1.0
W86	0.0	0	1.0	1.0	1.0	1.0	1.0
W87	0.0	0	1.0	1.0	1.0	1.0	1.0
W88	0.0	0	1.0	1.0	1.0	1.0	1.0
W89	0.0	0	1.0	1.0	1.0	1.0	1.0
W90	0.0	0	1.0	1.0	1.0	1.0	1.0
W91	0.0	0	1.0	1.0	1.0	1.0	1.0
W92	0.0	0	1.0	1.0	1.0	1.0	1.0
W93	0.0	0	1.0	1.0	1.0	1.0	1.0
W94	0.0	0	1.0	1.0	1.0	1.0	1.0
W95	0.0	0	1.0	1.0	1.0	1.0	1.0
W96	0.0	0	1.0	1.0	1.0	1.0	1.0
W97	0.0	0	1.0	1.0	1.0	1.0	1.0
W98	0.0	0	1.0	1.0	1.0	1.0	1.0
W99	0.0	0	1.0	1.0	1.0	1.0	1.0
W0	0.20408163265306123	1	2.1241403988469636	0.8630916248611661	2.2618045716384336	0.8628651115582257	0.8195496909391691
W1	0.20408163265306123	1	2.297238262384176	0.8691570776402406	2.4642886986562056	0.8689601863616898	0.8200824105570319
W2	0.20408163265306123	1	2.4802763456613786	0.8755717187577248	2.6811813407790708	0.8754195955064628	0.8206468927276495
W3	0.20408163265306123	1	2.6732737593319102	0.8823490669245861	2.9129776108193246	0.8822591674451766	0.8212445466302931
